	date	title	link
919	2012-10-05	Знаменитый британский певец Робби Уильямс впервые стал отцом	file:///news/2012-09-19/83949-znamenityy_britanskiy_pevets_robbi_uilyams_vpervye_stal_ottsom
920	2012-09-19	Нынешний локаут в НХЛ уже третий за последние 18 лет	file:///news/2012-09-18/83894-nyneshniy_lokaut_v_nhl_uzhe_tretiy_za_poslednie_18_let
921	2012-09-18	На Родину возвращаются россияне — звезды хоккея	file:///news/2012-09-18/83890-na_rodinu_vozvraschayutsya_rossiyane_zvezdy_hokkeya
922	2012-09-18	Первая группа россиян, пострадавших в ДТП в Греции, выписана и возвращается домой	file:///news/2012-09-15/83705-pervaya_gruppa_rossiyan_postradavshih_v_dtp_v_gretsii_vypisana_i_vozvraschaetsya_domoy
923	2012-09-15	В Германии перезахоронили останки советских солдат, погибших в боях на подступах к Берлину	file:///news/2012-09-13/83600-v_germanii_perezahoronili_ostanki_sovetskih_soldat_pogibshih_v_boyah_na_podstupah_k_berlinu
924	2012-09-13	В Великобритании к вылету готовится рейс, который доставит на родину российских паралимпийцев	file:///news/2012-09-10/83350-v_velikobritanii_k_vyletu_gotovitsya_reys_kotoryy_dostavit_na_rodinu_rossiyskih_paralimpiytsev
925	2012-09-10	100 лет со дня рождения датского карикатуриста Херлуфа Бидструпа	file:///news/2012-09-10/83345-100_let_so_dnya_rozhdeniya_datskogo_karikaturista_herlufa_bidstrupa
926	2012-09-10	На Украине обнаружилась целая команда футболистов-нелегалов из Нигерии	file:///news/2012-09-05/83008-na_ukraine_obnaruzhilas_tselaya_komanda_futbolistov_nelegalov_iz_nigerii
927	2012-09-05	Российские туристы в Хорватии пострадали из-за недобросовестной туркомпании	file:///news/2012-09-02/82783-rossiyskie_turisty_v_horvatii_postradali_iz_za_nedobrosovestnoy_turkompanii
928	2012-09-02	Между Арменией и Венгрией разгорелся громкий дипломатический скандал	file:///news/2012-09-01/82778-mezhdu_armeniey_i_vengriey_razgorelsya_gromkiy_diplomaticheskiy_skandal
929	2012-09-01	Столица Аргентины проведет несколько дней в ритме танго	file:///news/2012-08-22/90408-stolitsa_argentiny_provedet_neskolko_dney_v_ritme_tango
930	2012-08-22	«Летающий госпиталь» МЧС доставил на родину пострадавших в Турции россиян	file:///news/2012-08-16/90028-letayuschiy_gospital_mchs_dostavil_na_rodinu_postradavshih_v_turtsii_rossiyan
931	2012-08-16	Олимпийская сборная России вернулась на родину	file:///news/2012-08-14/89881-olimpiyskaya_sbornaya_rossii_vernulas_na_rodinu
932	2012-08-14	В Петербург прибыли российские туристы, которые двое суток не могли вылететь с Сицилии	file:///news/2012-08-14/89839-v_peterburg_pribyli_rossiyskie_turisty_kotorye_dvoe_sutok_ne_mogli_vyletet_s_sitsilii
933	2012-08-14	Неприятный сюрприз в разгар отпускного сезона преподнесла своим клиентам итальянская авиакомпания	file:///news/2012-08-13/89815-nepriyatnyy_syurpriz_v_razgar_otpusknogo_sezona_prepodnesla_svoim_klientam_italyanskaya_aviakompaniya
934	2012-08-13	Новый виток обострения между Белоруссией и Швецией	file:///news/2012-08-08/89537-novyy_vitok_obostreniya_mezhdu_belorussiey_i_shvetsiey
935	2012-08-08	Познакомиться с бытом и традициями немцев можно в России	file:///news/2012-08-08/89527-poznakomitsya_s_bytom_i_traditsiyami_nemtsev_mozhno_v_rossii
936	2012-08-08	Отношения между Белоруссией и Швецией, похоже, обострились до предела	file:///news/2012-08-08/89513-otnosheniya_mezhdu_belorussiey_i_shvetsiey_pohozhe_obostrilis_do_predela
937	2012-08-08	Дзюдоист Арсен Галстян принес России первое олимпийское «золото»	file:///news/2012-07-28/88969-dzyudoist_arsen_galstyan_prines_rossii_pervoe_olimpiyskoe_zoloto
938	2012-07-28	Юбилей отмечает уполномоченный по правам человека Владимир Лукин	file:///news/2012-07-13/88015-yubiley_otmechaet_upolnomochennyy_po_pravam_cheloveka_vladimir_lukin
939	2012-07-13	Италия вторые сутки празднует победу своей футбольной сборной в полуфинале Чемпионата Европы	file:///news/2012-06-29/95635-italiya_vtorye_sutki_prazdnuet_pobedu_svoey_futbolnoy_sbornoy_v_polufinale_chempionata_evropy
940	2012-06-29	Список пострадавших из-за приостановки деятельности «Вокруг Света» станет известен 2 июля	file:///news/2012-06-29/95605-spisok_postradavshih_iz_za_priostanovki_deyatelnosti_vokrug_sveta_stanet_izvesten_2_iyulya
941	2012-06-29	Еще один российский туроператор объявил о приостановке своей деятельности	file:///news/2012-06-29/95596-esche_odin_rossiyskiy_turoperator_ob_yavil_o_priostanovke_svoey_deyatelnosti
942	2012-06-29	В Кабардино-Балкарии семья десятилетиями ухаживала за могилой советского солдата	file:///news/2012-06-26/95387-v_kabardino_balkarii_semya_desyatiletiyami_uhazhivala_za_mogiloy_sovetskogo_soldata
943	2012-06-26	Чешские пенсионеры этим летом предпочитают отдыхать на Родине	file:///news/2012-06-26/95367-cheshskie_pensionery_etim_letom_predpochitayut_otdyhat_na_rodine
944	2012-06-26	75 лет назад был совершен полет, открывший эру дальней авиации в СССР	file:///news/2012-06-23/95257-75_let_nazad_byl_sovershen_polet_otkryvshiy_eru_dalney_aviatsii_v_sssr
945	2012-06-23	75 лет назад началась новая эра отечественной дальней авиации	file:///news/2012-06-23/95250-75_let_nazad_nachalas_novaya_era_otechestvennoy_dalney_aviatsii
946	2012-06-23	В Твери собираются восстановить Спасо-Преображенский собор, взорванный в 1935 году	file:///news/2012-06-21/95046-v_tveri_sobirayutsya_vosstanovit_spaso_preobrazhenskiy_sobor_vzorvannyy_v_1935_godu
947	2012-06-21	200 лет исполняется со дня рождения русского писателя Ивана Гончарова	file:///news/2012-06-18/94864-200_let_ispolnyaetsya_so_dnya_rozhdeniya_russkogo_pisatelya_ivana_goncharova
